pizza_ingredients_x,Order_Quantity
"?duja Salami, Pancetta, Tomatoes, Red Onions, Friggitello Peppers, Garlic",1000
"Bacon, Pepperoni, Italian Sausage, Chorizo Sausage",1000
"Barbecued Chicken, Red Peppers, Green Peppers, Tomatoes, Red Onions, Barbecue Sauce",1000
"Brie Carre Cheese, Prosciutto, Caramelized Onions, Pears, Thyme, Garlic",1000
"Calabrese Salami, Capocollo, Tomatoes, Red Onions, Green Olives, Garlic",1000
"Capocollo, Red Peppers, Tomatoes, Goat Cheese, Garlic, Oregano",1000
"Capocollo, Tomatoes, Goat Cheese, Artichokes, Peperoncini verdi, Garlic",1000
"Chicken, Artichoke, Spinach, Garlic, Jalapeno Peppers, Fontina Cheese, Gouda Cheese",1000
"Chicken, Pineapple, Tomatoes, Red Peppers, Thai Sweet Chilli Sauce",1000
"Chicken, Red Onions, Red Peppers, Mushrooms, Asiago Cheese, Alfredo Sauce",1000
"Chicken, Tomatoes, Red Peppers, Red Onions, Jalapeno Peppers, Corn, Cilantro, Chipotle Sauce",1000
"Chicken, Tomatoes, Red Peppers, Spinach, Garlic, Pesto Sauce",1000
"Coarse Sicilian Salami, Tomatoes, Green Olives, Luganega Sausage, Onions, Garlic",1000
"Eggplant, Artichokes, Tomatoes, Zucchini, Red Peppers, Garlic, Pesto Sauce",1000
"Genoa Salami, Capocollo, Pepperoni, Tomatoes, Asiago Cheese, Garlic",1000
"Kalamata Olives, Feta Cheese, Tomatoes, Garlic, Beef Chuck Roast, Red Onions",1000
"Mozzarella Cheese, Pepperoni",1000
"Mozzarella Cheese, Provolone Cheese, Smoked Gouda Cheese, Romano Cheese, Blue Cheese, Garlic",1000
"Mushrooms, Tomatoes, Red Peppers, Green Peppers, Red Onions, Zucchini, Spinach, Garlic",1000
"Pepperoni, Mushrooms, Green Peppers",1000
"Pepperoni, Mushrooms, Red Onions, Red Peppers, Bacon",1000
"Prosciutto di San Daniele, Arugula, Mozzarella Cheese",1000
"Ricotta Cheese, Gorgonzola Piccante Cheese, Mozzarella Cheese, Parmigiano Reggiano Cheese, Garlic",1000
"Sliced Ham, Pineapple, Mozzarella Cheese",1000
"Soppressata Salami, Fontina Cheese, Mozzarella Cheese, Mushrooms, Garlic",1000
"Spinach, Artichokes, Kalamata Olives, Sun-dried Tomatoes, Feta Cheese, Plum Tomatoes, Red Onions",1000
"Spinach, Artichokes, Tomatoes, Sun-dried Tomatoes, Garlic, Pesto Sauce",1000
"Spinach, Mushrooms, Red Onions, Feta Cheese, Garlic",1000
"Spinach, Mushrooms, Tomatoes, Green Olives, Feta Cheese",1000
"Spinach, Red Onions, Pepperoni, Tomatoes, Artichokes, Kalamata Olives, Garlic, Asiago Cheese",1000
"Tomatoes, Anchovies, Green Olives, Red Onions, Garlic",1000
"Tomatoes, Red Peppers, Jalapeno Peppers, Red Onions, Cilantro, Corn, Chipotle Sauce, Garlic",1000
