pizza_ingredients_x,available_stock_in_grams
"?duja Salami, Pancetta, Tomatoes, Red Onions, Friggitello Peppers, Garlic",0.0
"Bacon, Pepperoni, Italian Sausage, Chorizo Sausage",0.0
"Barbecued Chicken, Red Peppers, Green Peppers, Tomatoes, Red Onions, Barbecue Sauce",0.0
"Brie Carre Cheese, Prosciutto, Caramelized Onions, Pears, Thyme, Garlic",0.0
"Calabrese Salami, Capocollo, Tomatoes, Red Onions, Green Olives, Garlic",0.0
"Capocollo, Red Peppers, Tomatoes, Goat Cheese, Garlic, Oregano",0.0
"Capocollo, Tomatoes, Goat Cheese, Artichokes, Peperoncini verdi, Garlic",0.0
"Chicken, Artichoke, Spinach, Garlic, Jalapeno Peppers, Fontina Cheese, Gouda Cheese",0.0
"Chicken, Pineapple, Tomatoes, Red Peppers, Thai Sweet Chilli Sauce",0.0
"Chicken, Red Onions, Red Peppers, Mushrooms, Asiago Cheese, Alfredo Sauce",0.0
"Chicken, Tomatoes, Red Peppers, Red Onions, Jalapeno Peppers, Corn, Cilantro, Chipotle Sauce",0.0
"Chicken, Tomatoes, Red Peppers, Spinach, Garlic, Pesto Sauce",0.0
"Coarse Sicilian Salami, Tomatoes, Green Olives, Luganega Sausage, Onions, Garlic",0.0
"Eggplant, Artichokes, Tomatoes, Zucchini, Red Peppers, Garlic, Pesto Sauce",0.0
"Genoa Salami, Capocollo, Pepperoni, Tomatoes, Asiago Cheese, Garlic",0.0
"Kalamata Olives, Feta Cheese, Tomatoes, Garlic, Beef Chuck Roast, Red Onions",0.0
"Mozzarella Cheese, Pepperoni",0.0
"Mozzarella Cheese, Provolone Cheese, Smoked Gouda Cheese, Romano Cheese, Blue Cheese, Garlic",0.0
"Mushrooms, Tomatoes, Red Peppers, Green Peppers, Red Onions, Zucchini, Spinach, Garlic",0.0
"Pepperoni, Mushrooms, Green Peppers",0.0
"Pepperoni, Mushrooms, Red Onions, Red Peppers, Bacon",0.0
"Prosciutto di San Daniele, Arugula, Mozzarella Cheese",0.0
"Ricotta Cheese, Gorgonzola Piccante Cheese, Mozzarella Cheese, Parmigiano Reggiano Cheese, Garlic",0.0
"Sliced Ham, Pineapple, Mozzarella Cheese",0.0
"Soppressata Salami, Fontina Cheese, Mozzarella Cheese, Mushrooms, Garlic",0.0
"Spinach, Artichokes, Kalamata Olives, Sun-dried Tomatoes, Feta Cheese, Plum Tomatoes, Red Onions",0.0
"Spinach, Artichokes, Tomatoes, Sun-dried Tomatoes, Garlic, Pesto Sauce",0.0
"Spinach, Mushrooms, Red Onions, Feta Cheese, Garlic",0.0
"Spinach, Mushrooms, Tomatoes, Green Olives, Feta Cheese",0.0
"Spinach, Red Onions, Pepperoni, Tomatoes, Artichokes, Kalamata Olives, Garlic, Asiago Cheese",0.0
"Tomatoes, Anchovies, Green Olives, Red Onions, Garlic",0.0
"Tomatoes, Red Peppers, Jalapeno Peppers, Red Onions, Cilantro, Corn, Chipotle Sauce, Garlic",0.0
