pizza_ingredients_x,available_stock_in_grams,Forecasted_Quantity,Surplus_or_Shortage
"?duja Salami, Pancetta, Tomatoes, Red Onions, Friggitello Peppers, Garlic",0.0,5622.0,-5622.0
"Bacon, Pepperoni, Italian Sausage, Chorizo Sausage",0.0,6639.0,-6639.0
"Barbecued Chicken, Red Peppers, Green Peppers, Tomatoes, Red Onions, Barbecue Sauce",0.0,9288.333333333334,-9288.333333333334
"Brie Carre Cheese, Prosciutto, Caramelized Onions, Pears, Thyme, Garlic",0.0,7701.25,-7701.25
"Calabrese Salami, Capocollo, Tomatoes, Red Onions, Green Olives, Garlic",0.0,8420.8,-8420.8
"Capocollo, Red Peppers, Tomatoes, Goat Cheese, Garlic, Oregano",0.0,8455.333333333334,-8455.333333333334
"Capocollo, Tomatoes, Goat Cheese, Artichokes, Peperoncini verdi, Garlic",0.0,8896.57142857143,-8896.57142857143
"Chicken, Artichoke, Spinach, Garlic, Jalapeno Peppers, Fontina Cheese, Gouda Cheese",0.0,10460.57142857143,-10460.57142857143
"Chicken, Pineapple, Tomatoes, Red Peppers, Thai Sweet Chilli Sauce",0.0,11059.285714285714,-11059.285714285714
"Chicken, Red Onions, Red Peppers, Mushrooms, Asiago Cheese, Alfredo Sauce",0.0,9820.57142857143,-9820.57142857143
"Chicken, Tomatoes, Red Peppers, Red Onions, Jalapeno Peppers, Corn, Cilantro, Chipotle Sauce",0.0,11590.285714285714,-11590.285714285714
"Chicken, Tomatoes, Red Peppers, Spinach, Garlic, Pesto Sauce",0.0,10810.142857142857,-10810.142857142857
"Coarse Sicilian Salami, Tomatoes, Green Olives, Luganega Sausage, Onions, Garlic",0.0,11238.714285714286,-11238.714285714286
"Eggplant, Artichokes, Tomatoes, Zucchini, Red Peppers, Garlic, Pesto Sauce",0.0,10569.57142857143,-10569.57142857143
"Genoa Salami, Capocollo, Pepperoni, Tomatoes, Asiago Cheese, Garlic",0.0,9441.142857142857,-9441.142857142857
"Kalamata Olives, Feta Cheese, Tomatoes, Garlic, Beef Chuck Roast, Red Onions",0.0,8965.142857142857,-8965.142857142857
"Mozzarella Cheese, Pepperoni",0.0,8810.714285714286,-8810.714285714286
"Mozzarella Cheese, Provolone Cheese, Smoked Gouda Cheese, Romano Cheese, Blue Cheese, Garlic",0.0,7826.285714285715,-7826.285714285715
"Mushrooms, Tomatoes, Red Peppers, Green Peppers, Red Onions, Zucchini, Spinach, Garlic",0.0,8736.285714285714,-8736.285714285714
"Pepperoni, Mushrooms, Green Peppers",0.0,7657.142857142857,-7657.142857142857
"Pepperoni, Mushrooms, Red Onions, Red Peppers, Bacon",0.0,8429.285714285714,-8429.285714285714
"Prosciutto di San Daniele, Arugula, Mozzarella Cheese",0.0,7814.571428571428,-7814.571428571428
"Ricotta Cheese, Gorgonzola Piccante Cheese, Mozzarella Cheese, Parmigiano Reggiano Cheese, Garlic",0.0,7955.428571428572,-7955.428571428572
"Sliced Ham, Pineapple, Mozzarella Cheese",0.0,8302.0,-8302.0
"Soppressata Salami, Fontina Cheese, Mozzarella Cheese, Mushrooms, Garlic",0.0,7782.571428571428,-7782.571428571428
"Spinach, Artichokes, Kalamata Olives, Sun-dried Tomatoes, Feta Cheese, Plum Tomatoes, Red Onions",0.0,6972.571428571428,-6972.571428571428
"Spinach, Artichokes, Tomatoes, Sun-dried Tomatoes, Garlic, Pesto Sauce",0.0,7222.0,-7222.0
"Spinach, Mushrooms, Red Onions, Feta Cheese, Garlic",0.0,6502.0,-6502.0
"Spinach, Mushrooms, Tomatoes, Green Olives, Feta Cheese",0.0,6588.857142857143,-6588.857142857143
"Spinach, Red Onions, Pepperoni, Tomatoes, Artichokes, Kalamata Olives, Garlic, Asiago Cheese",0.0,6316.285714285715,-6316.285714285715
"Tomatoes, Anchovies, Green Olives, Red Onions, Garlic",0.0,6323.571428571428,-6323.571428571428
"Tomatoes, Red Peppers, Jalapeno Peppers, Red Onions, Cilantro, Corn, Chipotle Sauce, Garlic",0.0,7333.714285714285,-7333.714285714285
